content id,Ref ID,UXA,Tagging,Copy,Assets,Legal,Client,Flow,Node,Block,Block Priority,Required Tags,Display only if inventory,Template,VDM Content Link,Video Platform,Video ID,,default action,default target,Question / Title (Carousel),Description,Disclosure,Choice A,Tags A,Affirmation A,Action A,Target A,Choice B,Tags B,Affirmation B,Action B,Target B,Choice C,Tags C,Affirmation C,Action C,Target C,Choice D,Tags D,Affirmation D,Action D,Target D,Choice E,Tags E,Affirmation E,Action E,Target E
21306,6,,,,,,,Needs,Nameplate Filter,Tow,200,,,Carousel,towing-medium-v1.png,,,,,,"ATVs, small trailer or boat",,,"Up to 3,500 lbs.","exterior:towing boat,exterior:towing boatb,exterior:towing boatc, feature:class II hitch",,content id,21302,,,,,,,,,,,,,,,,,,,,
21307,7,,,,,,,Needs,Nameplate Filter,Tow,200,,,Carousel,towing-large-v1.png,,,,,,Medium trailer or boat ,,,"Up to 5,000 lbs.","exterior:towing large camper,exterior:towing large camperb,exterior:towing large camperc, feature:class III hitch",,content id,21302,,,,,,,,,,,,,,,,,,,,
21308,8,,,,,,,Needs,Nameplate Filter,Tow,200,,,Carousel,fordmatch-needs-nameplate-filter-tow-8.jpeg,,,,,,On second thought… Don’t need it after all,,,Never mind.,,,,,,,,,,,,,,,,,,,,,,,,
21401,1,,,,,,,Needs,Nameplate Filter,4wd,200,persona:4wd,,Content,4WDAWD.gif,,,,content id,21412,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21412,12,,,,,,,Needs,Nameplate Filter,4wd,200,,,Button,,,,,,,So let’s get to it. Do you need AWD/4WD?,,,Yes,"persona:4wd, feature:intelligent 4wd,feature:awd 4wd",,content id,21402,No,,,Content,21404,I dunno. Do I?,,,content id,21406,,,,,,,,,,
21402,2,,,,,,,Needs,Nameplate Filter,4wd,200,,,Content,,,,,content id,21403,Good to know.,,,,,,,,,,,,,,,,,,,,,,,,,,,
21403,3,,,,,,,Needs,Nameplate Filter,4wd,200,,,Content,,,,,,,AWD is awesome.,,,,,,,,,,,,,,,,,,,,,,,,,,,
21404,4,,,,,,,Needs,Nameplate Filter,4wd,200,,,Content,,,,,content id,21405,No worries.,,,,,,,,,,,,,,,,,,,,,,,,,,,
21405,5,,,,,,,Needs,Nameplate Filter,4wd,200,,,Content,,,,,,,It’s not for everyone. ,,,,,,,,,,,,,,,,,,,,,,,,,,,
21406,6,,,,,,,Needs,Nameplate Filter,4wd,200,,,Content,,,,,content id,21407,"If you live in an area that’s hilly, has a lot of unpaved roads or where it snows or rains a lot, you’d probably dig AWD. ",,,,,,,,,,,,,,,,,,,,,,,,,,,
21407,7,,,,,,,Needs,Nameplate Filter,4wd,200,,,Content,,,,,content id,21408,It can help boost traction on slippery or uneven roads.,,,,,,,,,,,,,,,,,,,,,,,,,,,
21408,8,,,,,,,Needs,Nameplate Filter,4wd,200,,,Content,,,,,content id,21409,"But if none of that applies to you, then you probably don’t need it. Plus, gas mileage can be slightly better without.",,,,,,,,,,,,,,,,,,,,,,,,,,,
21409,9,,,,,,,Needs,Nameplate Filter,4wd,200,,,Button,,,,,,,So what do you think?,,,Yes to AWD/4WD.,"persona:4wd, feature:intelligent 4wd,feature:awd 4wd",,content id,21411,Don’t need it.,,,content id,21410,,,,,,,,,,,,,,,
21410,10,,,,,,,Needs,Nameplate Filter,4wd,200,,,Content,,,,,,,Cool.,,,,,,,,,,,,,,,,,,,,,,,,,,,
21411,11,,,,,,,Needs,Nameplate Filter,4wd,200,,,Content,,,,,,,We’ll add it then.,,,,,,,,,,,,,,,,,,,,,,,,,,,
